"type_" "transf_" "vinit_" "gene_" "" ""
"3" "no" "2" "HLA-A" "0.242438878580369" "0.0645781614652283"
"4" "no" "2" "HLA-A" "0.253033541376421" "0.0582487139999205"
"3" "log2" "2" "HLA-A" "0.318842161982097" "0.0304757005321912"
"4" "log2" "2" "HLA-A" "0.342219423828844" "0.024133076649739"
"3" "log10" "2" "HLA-A" "0.318842161982092" "0.0304757005321928"
"4" "log10" "2" "HLA-A" "0.342219423828864" "0.0241330766497339"
"3" "no" "2" "HLA-B" "0.264146978366676" "0.0522584306207712"
"4" "no" "2" "HLA-B" "0.291967374581264" "0.0397665050209794"
"3" "log2" "2" "HLA-B" "0.279264276064675" "0.0450619059431393"
"4" "log2" "2" "HLA-B" "0.304293801707039" "0.035207396282708"
"3" "log10" "2" "HLA-B" "0.279264276064663" "0.0450619059431442"
"4" "log10" "2" "HLA-B" "0.304293801707038" "0.0352073962827082"
"3" "no" "2" "HLA-C" "0.314879069796823" "0.0316998462504448"
"4" "no" "2" "HLA-C" "0.306056560049173" "0.0345982896680325"
"3" "log2" "2" "HLA-C" "0.324304684065644" "0.0288631159467656"
"4" "log2" "2" "HLA-C" "0.316710904528215" "0.0311282169695586"
"3" "log10" "2" "HLA-C" "0.324304684065646" "0.0288631159467654"
"4" "log10" "2" "HLA-C" "0.316710904528203" "0.0311282169695622"
"3" "no" "2" "HLA-DPB1" "0.999881180985375" "3.73522780927615e-07"
"4" "log2" "2" "HLA-DQB1" "0.999884804676791" "3.67552341562494e-07"
"4" "log10" "2" "HLA-DQB1" "0.999884804675776" "3.67552343227828e-07"
"3" "log2" "2" "HLA-DRA" "0.999809656861622" "4.7741957237557e-07"
"4" "log2" "2" "HLA-DRA" "0.999810300410746" "4.76577293129221e-07"
"3" "log10" "2" "HLA-DRA" "0.999809656861494" "4.77419572542104e-07"
"4" "log10" "2" "HLA-DRA" "0.999810300410714" "4.76577293184732e-07"
