"type_" "transf_" "vinit_" "gene_" "" ""
"1" "log2" "0.1" "HLA-A" "0.99999999999978" "4.89036893258632e-07"
"1" "log2" "1" "HLA-A" "0.999999999999939" "4.88635416295846e-07"
"2" "log2" "7.5" "HLA-A" "0.999999999999817" "4.88943540655207e-07"
"2" "log2" "10" "HLA-A" "0.999999999999996" "4.88491638139799e-07"
"1" "log10" "0.1" "HLA-A" "0.999999999999778" "4.89043041673742e-07"
"1" "log10" "1" "HLA-A" "0.999999999999939" "4.88635416295846e-07"
"2" "log10" "7.5" "HLA-A" "0.999999999999622" "4.89433598205302e-07"
"2" "log10" "10" "HLA-A" "0.999999999999996" "4.88492477412894e-07"
"1" "no" "0.1" "HLA-B" "0.0906235727827537" "0.432074530437389"
"1" "log2" "0.1" "HLA-B" "0.0157159742373224" "0.487860933084312"
"1" "log2" "0.5" "HLA-B" "1.92653284698484e-32" "0.5"
"2" "log2" "0.1" "HLA-B" "0.351509634172314" "0.264877618123767"
"1" "log10" "0.1" "HLA-B" "0.00326819320875115" "0.497463233539492"
"1" "log10" "0.5" "HLA-B" "1.94153896918021e-32" "0.5"
"2" "log10" "0.1" "HLA-B" "0.351509638402936" "0.264877615756095"
"1" "no" "1" "HLA-C" "1" "4.8848324524231e-07"
"1" "no" "2" "HLA-C" "1" "4.8848324524231e-07"
"2" "no" "0.1" "HLA-C" "0.999999999999998" "4.88486602390203e-07"
"2" "no" "0.5" "HLA-C" "0.999999999999868" "4.88814105525925e-07"
"2" "no" "2" "HLA-C" "0.999999999999867" "4.88817740174063e-07"
"2" "no" "50" "HLA-C" "0.999999999999999" "4.88484084515406e-07"
"1" "log2" "20" "HLA-C" "0.99999999999946" "4.89841168904714e-07"
"1" "log10" "20" "HLA-C" "0.999999999999893" "4.88752312122198e-07"
"1" "no" "15" "HLA-DPB1" "0.999999999999561" "4.89588288576925e-07"
"1" "no" "100" "HLA-DPB1" "0.999999999999285" "4.90282165199751e-07"
"2" "no" "15" "HLA-DPB1" "0.999999999999625" "4.89425778738006e-07"
"2" "no" "100" "HLA-DPB1" "0.999999999999059" "4.90847588852095e-07"
"1" "log2" "10" "HLA-DPB1" "0.999999999999738" "4.89141406323501e-07"
"1" "log2" "15" "HLA-DPB1" "0.999999999999995" "4.88495275008383e-07"
"1" "log2" "100" "HLA-DPB1" "0.999999999999453" "4.89858190733106e-07"
"2" "log2" "10" "HLA-DPB1" "0.999999999999597" "4.89496708389048e-07"
"2" "log2" "15" "HLA-DPB1" "0.999999999999996" "4.88493036965298e-07"
"2" "log2" "100" "HLA-DPB1" "0.999999999999488" "4.89770843437043e-07"
"1" "log10" "10" "HLA-DPB1" "0.999999999999656" "4.89347577514732e-07"
"1" "log10" "15" "HLA-DPB1" "0.999999999999995" "4.88495275008383e-07"
"1" "log10" "100" "HLA-DPB1" "0.999999999999448" "4.89871026521094e-07"
"2" "log10" "10" "HLA-DPB1" "0.999999999999614" "4.89455380447978e-07"
"2" "log10" "15" "HLA-DPB1" "0.999999999999996" "4.88493316685989e-07"
"2" "log10" "100" "HLA-DPB1" "0.999999999999487" "4.89774750644933e-07"
"1" "no" "1" "HLA-DQA1" "1" "4.88482965466108e-07"
"1" "no" "2" "HLA-DQA1" "1" "4.88482965466108e-07"
"2" "no" "0.1" "HLA-DQA1" "1" "4.88482965466108e-07"
"2" "no" "0.5" "HLA-DQA1" "1" "4.88482965466108e-07"
"2" "no" "1" "HLA-DQA1" "0.999999999999999" "4.88484364291608e-07"
"2" "no" "2" "HLA-DQA1" "0.999999999999999" "4.88484364291608e-07"
"1" "log2" "2" "HLA-DQA1" "0.999999999999674" "4.89302606654363e-07"
"1" "log2" "50" "HLA-DQA1" "1" "4.88483524963002e-07"
"2" "log2" "2" "HLA-DQA1" "0.999999999999954" "4.88598216719094e-07"
"2" "log2" "50" "HLA-DQA1" "1" "4.88483524963002e-07"
"1" "log10" "2" "HLA-DQA1" "1" "4.88483524963002e-07"
"1" "log10" "50" "HLA-DQA1" "1" "4.88483524963002e-07"
"2" "log10" "2" "HLA-DQA1" "0.999999999999729" "4.89164876993353e-07"
"2" "log10" "50" "HLA-DQA1" "1" "4.88483524963002e-07"
"1" "no" "15" "HLA-DQB1" "0.999999999998813" "4.91466107588323e-07"
"1" "no" "20" "HLA-DQB1" "0.999999999999982" "4.88529124931247e-07"
"2" "no" "15" "HLA-DQB1" "0.99999999999886" "4.91347859565838e-07"
"2" "no" "20" "HLA-DQB1" "0.999999999999989" "4.8851038186859e-07"
"1" "log2" "20" "HLA-DQB1" "0.999999999999363" "4.90085003357343e-07"
"1" "log2" "200" "HLA-DQB1" "0.999999999999998" "4.8848744171881e-07"
"2" "log2" "15" "HLA-DQB1" "0.999999999999986" "4.88517375607511e-07"
"2" "log2" "20" "HLA-DQB1" "1" "4.88482965466108e-07"
"2" "log2" "200" "HLA-DQB1" "0.999999999999999" "4.88485483340906e-07"
"1" "log10" "200" "HLA-DQB1" "0.999999999999998" "4.8848744171881e-07"
"2" "log10" "15" "HLA-DQB1" "0.999999999999987" "4.88516536389927e-07"
"2" "log10" "20" "HLA-DQB1" "0.999999999999627" "4.89422148197693e-07"
"2" "log10" "200" "HLA-DQB1" "0.999999999999999" "4.88485203564704e-07"
"1" "no" "15" "HLA-DRA" "0.99999999999896" "4.91096251831191e-07"
"1" "no" "20" "HLA-DRA" "0.999999999999918" "4.88688553956784e-07"
"2" "no" "15" "HLA-DRA" "0.999999999999049" "4.90874326408708e-07"
"2" "no" "20" "HLA-DRA" "0.999999999999919" "4.88686596356036e-07"
"1" "log2" "0.1" "HLA-DRA" "0.99999999999925" "4.90368313399436e-07"
"1" "log2" "0.5" "HLA-DRA" "0.999999999999795" "4.88999721881545e-07"
"1" "log2" "10" "HLA-DRA" "0.999999999999928" "4.88665062137184e-07"
"1" "log2" "15" "HLA-DRA" "0.999999999999998" "4.88487721439501e-07"
"1" "log2" "100" "HLA-DRA" "0.999999999999557" "4.89596664043912e-07"
"2" "log2" "0.1" "HLA-DRA" "0.999999999999604" "4.89480233456518e-07"
"2" "log2" "0.5" "HLA-DRA" "0.999999999999653" "4.89357632638132e-07"
"2" "log2" "10" "HLA-DRA" "0.999999999999216" "4.90455841273274e-07"
"2" "log2" "15" "HLA-DRA" "0.999999999999998" "4.88487721439501e-07"
"2" "log2" "100" "HLA-DRA" "0.999999999999556" "4.896000141974e-07"
"1" "log10" "0.1" "HLA-DRA" "0.999999999999814" "4.88950808230637e-07"
"1" "log10" "0.5" "HLA-DRA" "0.999999999999501" "4.89739584663695e-07"
"1" "log10" "10" "HLA-DRA" "0.999999999999775" "4.8904918997783e-07"
"1" "log10" "15" "HLA-DRA" "0.999999999999998" "4.8848744171881e-07"
"1" "log10" "100" "HLA-DRA" "0.99999999999956" "4.89590801233675e-07"
"2" "log10" "0.1" "HLA-DRA" "0.999999999999743" "4.89129670599997e-07"
"2" "log10" "0.5" "HLA-DRA" "0.999999999999602" "4.89484142773833e-07"
"2" "log10" "10" "HLA-DRA" "0.999999999999716" "4.8919868411712e-07"
"2" "log10" "15" "HLA-DRA" "0.999999999999998" "4.88488001215703e-07"
"2" "log10" "100" "HLA-DRA" "0.999999999999561" "4.89587730190255e-07"
"1" "no" "0.1" "HLA-DRB1" "0.99999999999996" "4.885831124124e-07"
"1" "no" "15" "HLA-DRB1" "0.999999999999981" "4.88531362863309e-07"
