"heritEstimate"|"heritSE"|"heritP"|"geneExp"|"subPop"|"covs"|"VIF"|"SE"
0,212182|0,234774|0,0021996|"HLA-A"|"Full"|"Lab+Sex"|"1.11"|0,0111293549563225
0,216748|0,239604|0,0019934|"HLA-A"|"Full"|"Lab"|"1.11"|0,0113583189150191
0,5461|0,200199|6,6247e-06|"HLA-A"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00949034276751603
0,53852|0,199082|6,6432e-06|"HLA-A"|"Geuvadis"|"Lab"|"1.11"|0,00943739188928329
0,380208|0,917336|0,33869|"HLA-A"|"NAfr"|"Lab+Sex"|"1.11"|0,0484827141025397
0,242237|0,874229|0,40074|"HLA-A"|"NAfr"|"Lab"|"1.11"|0,0462044383597168
0,22361|0,271686|0,0047718|"HLA-B"|"Full"|"Lab+Sex"|"1.11"|0,0128791515698648
0,218888|0,264445|0,0046386|"HLA-B"|"Full"|"Lab"|"1.11"|0,0125358952500051
0,144959|0,123701|0,0059389|"HLA-B"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00586398978358783
0,143622|0,122301|0,0056846|"HLA-B"|"Geuvadis"|"Lab"|"1.11"|0,00579762341874824
2e-06|0,705827|0,5|"HLA-B"|"NAfr"|"Lab+Sex"|"1.11"|0,0373041161001566
2e-06|0,749875|0,5|"HLA-B"|"NAfr"|"Lab"|"1.11"|0,0396321252383445
0,151046|0,175454|0,0078386|"HLA-C"|"Full"|"Lab+Sex"|"1.11"|0,00831731726897616
0,150765|0,175416|0,0080595|"HLA-C"|"Full"|"Lab"|"1.11"|0,00831551589621622
0,554393|0,20038|1,4462e-05|"HLA-C"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00949892299039886
0,560916|0,199668|1,1712e-05|"HLA-C"|"Geuvadis"|"Lab"|"1.11"|0,0094651709534233
0,713725|1,15131|0,26643|"HLA-C"|"NAfr"|"Lab+Sex"|"1.11"|0,0608486242482525
0,522965|1,073123|0,31135|"HLA-C"|"NAfr"|"Lab"|"1.11"|0,0567163128950131
0,999997|0,957997|0,5|"HLA-DPA1"|"Full"|"Lab+Sex"|"1.11"|0,0454134131551709
0,999997|0,955346|0,5|"HLA-DPA1"|"Full"|"Lab"|"1.11"|0,0452877437028925
0,088934|0,080695|0,0081258|"HLA-DPA1"|"Geuvadis"|"Lab+Sex"|"1.11"|0,00382530986480805
0,088242|0,080538|0,0086038|"HLA-DPA1"|"Geuvadis"|"Lab"|"1.11"|0,00381786735103675
