*******************************************************************
* Genome-wide Complex Trait Analysis (GCTA)
* version 1.93.2 beta Linux
* (C) 2010-present, Jian Yang, The University of Queensland
* Please report bugs to Jian Yang <jian.yang.qt@gmail.com>
*******************************************************************
Analysis started at 23:24:16 -03 on Wed Jun 09 2021.
Hostname: darwin

Accepted options:
--reml
--reml-alg 0
--reml-maxit 1000
--grm /scratch/genevol/users/lucas/V2/grmNAfr
--pheno /raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt
--covar /raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt
--reml-est-fix
--out /raid/genevol/users/lucas/heritability/03.Heritability/Results/V2/HLA-DQB1/NAfrHLA-DQB10

Note: This is a multi-thread program. You could specify the number of threads by the --thread-num option to speed up the computation if there are multiple processors in your machine.

Reading IDs of the GRM from [/scratch/genevol/users/lucas/V2/grmNAfr.grm.id].
358 IDs read from [/scratch/genevol/users/lucas/V2/grmNAfr.grm.id].
Reading the GRM from [/scratch/genevol/users/lucas/V2/grmNAfr.grm.bin].
GRM for 358 individuals are included from [/scratch/genevol/users/lucas/V2/grmNAfr.grm.bin].
Reading phenotypes from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt].
Non-missing phenotypes of 358 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQB1.txt].
Reading discrete covariate(s) from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].
3 discrete covariate(s) of 445 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir0.txt].

3 discrete variable(s) included as covariate(s).
358 individuals are in common in these files.

Performing  REML analysis ... (Note: may take hours depending on sample size).
358 observations, 11 fixed effect(s), and 2 variance component(s)(including residual variance).
Calculating prior values of variance components by EM-REML ...
Updated prior values: 17196.6 17113.2
logL: -1987.94
Running AI-REML algorithm ...
Iter.	logL	V(G)	V(e)	
1	-1984.51	32672.56523	0.03841	(1 component(s) constrained)
2	-1983.15	31776.15027	0.03841	(1 component(s) constrained)
3	-1982.70	31205.41723	0.03841	(1 component(s) constrained)
4	-1982.63	29996.31206	0.03841	(1 component(s) constrained)
5	-1982.26	30054.96006	0.03841	(1 component(s) constrained)
6	-1982.36	30063.49968	0.03841	(1 component(s) constrained)
7	-1982.62	30051.60624	0.03841	(1 component(s) constrained)
8	-1982.15	30063.86648	0.03841	(1 component(s) constrained)
9	-1982.30	30070.12594	0.03841	(1 component(s) constrained)
10	-1983.88	30067.22793	0.03841	(1 component(s) constrained)
11	-1983.60	30060.62827	0.03841	(1 component(s) constrained)
12	-1983.71	30054.73899	0.03841	(1 component(s) constrained)
13	-1983.26	30067.35813	0.03841	(1 component(s) constrained)
14	-1982.00	30068.19167	0.03841	(1 component(s) constrained)
15	-1982.42	30064.71184	0.03841	(1 component(s) constrained)
16	-1983.84	30062.11318	0.03841	(1 component(s) constrained)
17	-1982.74	30061.91357	0.03841	(1 component(s) constrained)
18	-1982.08	30060.04669	0.03841	(1 component(s) constrained)
19	-1982.04	30050.98490	0.03841	(1 component(s) constrained)
20	-1983.47	30055.39910	0.03841	(1 component(s) constrained)
21	-1981.89	30055.56112	0.03841	(1 component(s) constrained)
22	-1981.92	30053.60159	0.03841	(1 component(s) constrained)
23	-1981.78	30070.38027	0.03841	(1 component(s) constrained)
24	-1983.05	30064.38363	0.03841	(1 component(s) constrained)
25	-1982.24	30061.88428	0.03841	(1 component(s) constrained)
26	-1983.81	30071.58800	0.03841	(1 component(s) constrained)
27	-1981.37	30061.38126	0.03841	(1 component(s) constrained)
28	-1982.67	30061.53384	0.03841	(1 component(s) constrained)
29	-1980.43	30059.26036	0.03841	(1 component(s) constrained)
30	-1981.94	30059.35216	0.03841	(1 component(s) constrained)
31	-1980.87	30049.50208	0.03841	(1 component(s) constrained)
32	-1979.05	30050.20611	0.03841	(1 component(s) constrained)
33	-1982.12	30052.44734	0.03841	(1 component(s) constrained)
34	-1984.03	30059.89529	0.03841	(1 component(s) constrained)
35	-1982.57	30056.83208	0.03841	(1 component(s) constrained)
36	-1983.02	30056.87097	0.03841	(1 component(s) constrained)
37	-1981.42	30048.06632	0.03841	(1 component(s) constrained)
38	-1983.08	30051.89928	0.03841	(1 component(s) constrained)
39	-1983.39	30062.18252	0.03841	(1 component(s) constrained)
40	-1982.82	30061.25242	0.03841	(1 component(s) constrained)
41	-1981.73	30058.56251	0.03841	(1 component(s) constrained)
