*******************************************************************
* Genome-wide Complex Trait Analysis (GCTA)
* version 1.93.2 beta Linux
* (C) 2010-present, Jian Yang, The University of Queensland
* Please report bugs to Jian Yang <jian.yang.qt@gmail.com>
*******************************************************************
Analysis started at 23:27:27 -03 on Wed Jun 09 2021.
Hostname: darwin

Accepted options:
--reml
--reml-alg 0
--reml-maxit 1000
--grm /scratch/genevol/users/lucas/V3/grmNAfr
--pheno /raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQA1.txt
--covar /raid/genevol/users/lucas/heritability/02.GCTA/data/envir1.txt
--reml-est-fix
--out /raid/genevol/users/lucas/heritability/03.Heritability/Results/V3/HLA-DQA1/NAfrHLA-DQA11

Note: This is a multi-thread program. You could specify the number of threads by the --thread-num option to speed up the computation if there are multiple processors in your machine.

Reading IDs of the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
358 IDs read from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.id].
Reading the GRM from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
GRM for 358 individuals are included from [/scratch/genevol/users/lucas/V3/grmNAfr.grm.bin].
Reading phenotypes from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQA1.txt].
Non-missing phenotypes of 358 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/geneNAfrHLA-DQA1.txt].
Reading discrete covariate(s) from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir1.txt].
2 discrete covariate(s) of 445 individuals are included from [/raid/genevol/users/lucas/heritability/02.GCTA/data/envir1.txt].

2 discrete variable(s) included as covariate(s).
358 individuals are in common in these files.

Performing  REML analysis ... (Note: may take hours depending on sample size).
358 observations, 8 fixed effect(s), and 2 variance component(s)(including residual variance).
Calculating prior values of variance components by EM-REML ...
Updated prior values: 24386.4 24333.6
logL: -2077.6
Running AI-REML algorithm ...
Iter.	logL	V(G)	V(e)	
1	-2077.57	38767.55938	9782.83677	
2	-2077.35	48315.60308	0.04923	(1 component(s) constrained)
3	-2077.77	48414.29793	0.04923	(1 component(s) constrained)
4	-2077.75	48401.21681	0.04923	(1 component(s) constrained)
5	-2075.95	48407.14695	0.04923	(1 component(s) constrained)
6	-2076.21	48403.58079	0.04923	(1 component(s) constrained)
7	-2077.72	48397.83602	0.04923	(1 component(s) constrained)
8	-2076.98	48391.42852	0.04923	(1 component(s) constrained)
9	-2078.88	48388.74390	0.04923	(1 component(s) constrained)
10	-2077.94	48399.72502	0.04923	(1 component(s) constrained)
11	-2076.50	48395.10337	0.04923	(1 component(s) constrained)
12	-2076.49	48393.25637	0.04923	(1 component(s) constrained)
13	-2077.32	48388.72295	0.04923	(1 component(s) constrained)
14	-2077.73	48404.70084	0.04923	(1 component(s) constrained)
15	-2077.51	48395.93861	0.04923	(1 component(s) constrained)
16	-2077.05	48399.89336	0.04923	(1 component(s) constrained)
17	-2076.85	48389.03210	0.04923	(1 component(s) constrained)
18	-2075.89	48393.87701	0.04923	(1 component(s) constrained)
19	-2077.01	48405.83501	0.04923	(1 component(s) constrained)
20	-2076.43	48395.18109	0.04923	(1 component(s) constrained)
21	-2076.66	48400.99326	0.04923	(1 component(s) constrained)
22	-2078.43	48390.44162	0.04923	(1 component(s) constrained)
23	-2077.83	48397.16343	0.04923	(1 component(s) constrained)
24	-2076.98	48407.42156	0.04923	(1 component(s) constrained)
25	-2076.62	48402.56519	0.04923	(1 component(s) constrained)
26	-2078.28	48403.30485	0.04923	(1 component(s) constrained)
27	-2076.30	48399.92447	0.04923	(1 component(s) constrained)
28	-2077.08	48397.12834	0.04923	(1 component(s) constrained)
29	-2076.73	48393.03095	0.04923	(1 component(s) constrained)
30	-2076.62	48388.07888	0.04923	(1 component(s) constrained)
31	-2077.33	48401.03132	0.04923	(1 component(s) constrained)
32	-2077.27	48401.72171	0.04923	(1 component(s) constrained)
33	-2077.51	48402.21542	0.04923	(1 component(s) constrained)
34	-2077.08	48390.16620	0.04923	(1 component(s) constrained)
35	-2077.39	48397.69648	0.04923	(1 component(s) constrained)
36	-2077.34	48397.18063	0.04923	(1 component(s) constrained)
37	-2077.54	48401.00038	0.04923	(1 component(s) constrained)
38	-2076.99	48404.68990	0.04923	(1 component(s) constrained)
39	-2077.48	48398.02518	0.04923	(1 component(s) constrained)
40	-2076.84	48403.48536	0.04923	(1 component(s) constrained)
41	-2076.43	48398.17460	0.04923	(1 component(s) constrained)
42	-2077.62	48401.45843	0.04923	(1 component(s) constrained)
43	-2077.91	48400.59246	0.04923	(1 component(s) constrained)
44	-2078.30	48394.58182	0.04923	(1 component(s) constrained)
45	-2076.52	48390.54157	0.04923	(1 component(s) constrained)
46	-2077.37	48393.14445	0.04923	(1 component(s) constrained)
47	-2077.44	48392.34656	0.04923	(1 component(s) constrained)
48	-2078.11	48403.46575	0.04923	(1 component(s) constrained)
49	-2078.29	48398.40806	0.04923	(1 component(s) constrained)
50	-2077.48	48405.65372	0.04923	(1 component(s) constrained)
51	-2076.27	48397.28428	0.04923	(1 component(s) constrained)
52	-2078.19	48398.61381	0.04923	(1 component(s) constrained)
53	-2076.89	48399.55300	0.04923	(1 component(s) constrained)
54	-2076.17	48396.27357	0.04923	(1 component(s) constrained)
55	-2076.80	48397.12912	0.04923	(1 component(s) constrained)
56	-2078.12	48409.25525	0.04923	(1 component(s) constrained)
57	-2076.52	48406.34846	0.04923	(1 component(s) constrained)
58	-2075.68	48406.60248	0.04923	(1 component(s) constrained)
59	-2077.76	48405.35041	0.04923	(1 component(s) constrained)
60	-2076.80	48395.39813	0.04923	(1 component(s) constrained)
61	-2077.04	48391.75894	0.04923	(1 component(s) constrained)
62	-2077.43	48393.99678	0.04923	(1 component(s) constrained)
63	-2077.93	48403.75621	0.04923	(1 component(s) constrained)
64	-2077.51	48387.29233	0.04923	(1 component(s) constrained)
65	-2078.87	48403.47072	0.04923	(1 component(s) constrained)
66	-2076.79	48397.05809	0.04923	(1 component(s) constrained)
67	-2076.62	48397.60489	0.04923	(1 component(s) constrained)
68	-2077.01	48406.45355	0.04923	(1 component(s) constrained)
69	-2077.19	48405.93130	0.04923	(1 component(s) constrained)
70	-2077.99	48394.55159	0.04923	(1 component(s) constrained)
71	-2077.23	48394.88179	0.04923	(1 component(s) constrained)
72	-2078.60	48394.19616	0.04923	(1 component(s) constrained)
73	-2076.86	48386.48207	0.04923	(1 component(s) constrained)
74	-2076.90	48388.18266	0.04923	(1 component(s) constrained)
75	-2076.98	48397.35780	0.04923	(1 component(s) constrained)
76	-2076.60	48408.13795	0.04923	(1 component(s) constrained)
77	-2076.69	48404.27770	0.04923	(1 component(s) constrained)
78	-2077.91	48395.43476	0.04923	(1 component(s) constrained)
79	-2077.30	48399.37445	0.04923	(1 component(s) constrained)
80	-2077.45	48395.72078	0.04923	(1 component(s) constrained)
81	-2078.02	48398.27269	0.04923	(1 component(s) constrained)
82	-2077.75	48404.11085	0.04923	(1 component(s) constrained)
83	-2077.48	48398.31005	0.04923	(1 component(s) constrained)
84	-2077.69	48392.08270	0.04923	(1 component(s) constrained)
85	-2076.50	48395.29842	0.04923	(1 component(s) constrained)
86	-2076.74	48396.03399	0.04923	(1 component(s) constrained)
87	-2078.00	48394.51318	0.04923	(1 component(s) constrained)
88	-2076.65	48398.85325	0.04923	(1 component(s) constrained)
89	-2076.97	48399.18014	0.04923	(1 component(s) constrained)
90	-2077.90	48391.01743	0.04923	(1 component(s) constrained)
91	-2076.95	48399.90858	0.04923	(1 component(s) constrained)
92	-2076.33	48388.96693	0.04923	(1 component(s) constrained)
93	-2077.64	48398.19358	0.04923	(1 component(s) constrained)
94	-2077.11	48403.26317	0.04923	(1 component(s) constrained)
95	-2077.23	48395.14110	0.04923	(1 component(s) constrained)
96	-2075.69	48397.95657	0.04923	(1 component(s) constrained)
97	-2076.82	48395.95249	0.04923	(1 component(s) constrained)
98	-2076.38	48398.08134	0.04923	(1 component(s) constrained)
99	-2076.77	48392.95265	0.04923	(1 component(s) constrained)
100	-2076.96	48391.37875	0.04923	(1 component(s) constrained)
101	-2077.28	48401.24750	0.04923	(1 component(s) constrained)
102	-2078.05	48399.90741	0.04923	(1 component(s) constrained)
103	-2078.24	48396.87119	0.04923	(1 component(s) constrained)
104	-2077.93	48402.15974	0.04923	(1 component(s) constrained)
105	-2077.14	48396.20310	0.04923	(1 component(s) constrained)
106	-2076.54	48396.46928	0.04923	(1 component(s) constrained)
107	-2078.46	48392.02597	0.04923	(1 component(s) constrained)
108	-2077.09	48400.56376	0.04923	(1 component(s) constrained)
109	-2076.41	48397.85470	0.04923	(1 component(s) constrained)
110	-2077.55	48394.15243	0.04923	(1 component(s) constrained)
111	-2076.06	48401.38440	0.04923	(1 component(s) constrained)
112	-2077.56	48402.93343	0.04923	(1 component(s) constrained)
113	-2077.11	48407.16821	0.04923	(1 component(s) constrained)
114	-2077.13	48396.42240	0.04923	(1 component(s) constrained)
115	-2076.90	48397.56674	0.04923	(1 component(s) constrained)
116	-2077.67	48393.68736	0.04923	(1 component(s) constrained)
117	-2077.45	48404.35501	0.04923	(1 component(s) constrained)
118	-2077.44	48393.05865	0.04923	(1 component(s) constrained)
119	-2077.44	48398.18640	0.04923	(1 component(s) constrained)
120	-2076.09	48383.22519	0.04923	(1 component(s) constrained)
121	-2075.79	48384.84396	0.04923	(1 component(s) constrained)
122	-2077.53	48403.54668	0.04923	(1 component(s) constrained)
123	-2077.18	48394.00702	0.04923	(1 component(s) constrained)
124	-2077.29	48394.53996	0.04923	(1 component(s) constrained)
125	-2077.57	48403.23121	0.04923	(1 component(s) constrained)
126	-2077.47	48409.17333	0.04923	(1 component(s) constrained)
127	-2075.82	48386.95172	0.04923	(1 component(s) constrained)
128	-2079.26	48390.59145	0.04923	(1 component(s) constrained)
129	-2077.59	48400.20189	0.04923	(1 component(s) constrained)
130	-2076.71	48400.78905	0.04923	(1 component(s) constrained)
131	-2077.28	48389.00603	0.04923	(1 component(s) constrained)
132	-2077.81	48401.82052	0.04923	(1 component(s) constrained)
133	-2078.15	48395.85475	0.04923	(1 component(s) constrained)
134	-2076.92	48394.12577	0.04923	(1 component(s) constrained)
