"type_" "transf_" "vinit_" "gene_" "" ""
"1" "no" "0.1" "HLA-A" "0.284921386153459" "0.042624274202736"
"1" "no" "0.5" "HLA-A" "0.285829649117508" "0.042245013095754"
"1" "no" "1" "HLA-A" "0.285760226928205" "0.0422738856870309"
"1" "no" "2" "HLA-A" "0.285814169292733" "0.0422514494764861"
"1" "no" "5" "HLA-A" "0.28575557113655" "0.0422758227086594"
"2" "no" "0.1" "HLA-A" "0.30299437620716" "0.0356630370568923"
"2" "no" "0.5" "HLA-A" "0.304687028875426" "0.035070626606087"
"2" "no" "1" "HLA-A" "0.304674308992321" "0.0350750426891636"
"2" "no" "2" "HLA-A" "0.304636135828981" "0.0350882988630388"
"2" "no" "5" "HLA-A" "0.304656093046912" "0.0350813678302664"
"1" "log2" "0.1" "HLA-A" "0.524738620232465" "0.00363975734755806"
"1" "log2" "0.5" "HLA-A" "0.531782753252409" "0.00337398610485284"
"1" "log2" "1" "HLA-A" "0.531610559017163" "0.00338025501152056"
"1" "log2" "2" "HLA-A" "0.666995846449987" "0.000747677646363243"
"1" "log10" "0.1" "HLA-A" "0.524738619004226" "0.0036397573956034"
"1" "log10" "0.5" "HLA-A" "0.531554232995783" "0.00338230804091894"
"1" "log10" "1" "HLA-A" "0.531312765598838" "0.00339112285386506"
"1" "log10" "2" "HLA-A" "0.6669958462101" "0.000747677648436751"
"1" "no" "0.1" "HLA-B" "0.368756888652397" "0.0184756917906521"
"1" "no" "0.5" "HLA-B" "0.368696481392469" "0.0184869810921083"
"1" "no" "1" "HLA-B" "0.368689197923993" "0.0184883427238405"
"1" "no" "2" "HLA-B" "0.369327044854771" "0.0183694646295091"
"1" "log2" "0.1" "HLA-B" "0.434452410949306" "0.00943276835418555"
"1" "log2" "0.5" "HLA-B" "0.429779893939222" "0.00990011536115698"
"1" "log2" "1" "HLA-B" "0.438313780205094" "0.00906265701946113"
"1" "log10" "0.1" "HLA-B" "0.434452424758583" "0.0094327670049007"
"1" "log10" "0.5" "HLA-B" "0.438375800502114" "0.00905682805813562"
"1" "log10" "1" "HLA-B" "0.438313774069311" "0.00906265759630986"
"1" "no" "0.5" "HLA-DPA1" "0.999999999998916" "2.78097989081516e-10"
"1" "no" "2" "HLA-DPA1" "0.999999999998645" "2.78480127846592e-10"
"1" "no" "20" "HLA-DPA1" "0.999999999998692" "2.78413014864753e-10"
"2" "no" "0.5" "HLA-DPA1" "0.999999999999279" "2.77585954222559e-10"
"2" "no" "2" "HLA-DPA1" "0.99999999999856" "2.785999764221e-10"
"2" "no" "20" "HLA-DPA1" "0.999999999998563" "2.78595091440792e-10"
"1" "log2" "2" "HLA-DPA1" "0.999999999999689" "2.77006861892914e-10"
"2" "log2" "2" "HLA-DPA1" "0.99999999999943" "2.77372513846075e-10"
"1" "log10" "2" "HLA-DPA1" "0.999999999999644" "2.77069533982655e-10"
"2" "log10" "2" "HLA-DPA1" "0.999999999999999" "2.76567491130919e-10"
"1" "no" "20" "HLA-DPB1" "0.999999999999111" "2.77823375416375e-10"
"1" "no" "200" "HLA-DPB1" "0.999999999999996" "2.76571376911505e-10"
"2" "no" "20" "HLA-DPB1" "0.999999999999192" "2.77708855911385e-10"
"2" "no" "200" "HLA-DPB1" "0.999999999999996" "2.76571265889203e-10"
"1" "log2" "200" "HLA-DPB1" "0.999999999999521" "2.77243672464067e-10"
"2" "log2" "200" "HLA-DPB1" "0.999999999999534" "2.77225298273009e-10"
