"type_" "transf_" "vinit_" "gene_" "" ""
"4" "no" "2" "HLA-A" "0.999869778224385" "0.00082642410308309"
"3" "no" "2" "HLA-B" "0" "0.5"
"4" "no" "2" "HLA-B" "0" "0.5"
"3" "log2" "2" "HLA-B" "0.000172134847272568" "0.49986622668728"
"4" "log2" "2" "HLA-B" "0" "0.5"
"3" "log10" "2" "HLA-B" "0.00017213484718194" "0.499866226689464"
"4" "log10" "2" "HLA-B" "0" "0.5"
"4" "log2" "2" "HLA-C" "0.999796424971741" "0.0010540398949257"
"4" "log10" "2" "HLA-C" "0.999796424972248" "0.00105403989349434"
"3" "no" "2" "HLA-DPA1" "0.999884519041479" "0.000774205153171059"
"4" "no" "2" "HLA-DPA1" "0.999829716522928" "0.00095628259891134"
"3" "log2" "2" "HLA-DPA1" "0.546074468153598" "0.16748911112411"
"4" "log2" "2" "HLA-DPA1" "0.618488538917608" "0.136865443092969"
"3" "log10" "2" "HLA-DPA1" "0.546074468153524" "0.167489111124143"
"4" "log10" "2" "HLA-DPA1" "0.618488538917599" "0.136865443092972"
"3" "no" "2" "HLA-DQA1" "0.999827941511701" "0.000961699422781348"
"3" "no" "2" "HLA-DQB1" "0.999891268749322" "0.000749297372190705"
"4" "no" "2" "HLA-DQB1" "0.999897341816216" "0.000726284891413465"
"4" "log2" "2" "HLA-DQB1" "0.999875467145832" "0.000806602886500252"
"4" "log10" "2" "HLA-DQB1" "0.999875467146131" "0.000806602885449148"
