eigen,fileName,vif,maf,hwe,outliers,pop,genes,n_sample,status,combination_
25.70783771496835,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
2.988730838868684,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
-5.531549519904294e-15,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.5497699403811753,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.1746301224864126,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.150876876650495,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.1244591479435586,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.1185695097402504,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.1028226600653095,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.094591017883382,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.788427406738863,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.088912957473874,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8045944063620227,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.081704522095465,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0784082176072278,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.070540159214705,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0696502496707674,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.065615186685233,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0650382301771737,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0630101343063514,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0612135204385074,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0588863414469856,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0581717127252699,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0569733869046842,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0521776138593006,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0523666975844534,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0503379104597026,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0488745296537252,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0471890150256258,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0448490088202385,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0440556304190822,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0435357500931854,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0421026027761466,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8192500851895405,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8212931217933359,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8245669353328242,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8242444708991458,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8256395219515483,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8292534900348761,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8304066012227893,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8317083053422978,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8335941484773133,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8343450818291811,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
0.8338592001331537,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.040625672136493,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.039155869075719,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0384741109517657,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0370674214828501,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0357643876136091,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0342824418636463,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0340233264798906,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.032086457660504,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0316546293103939,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.03099157635684,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0300196610048669,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.029840514157502,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.029077222116675,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0285077686513004,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0274442893008675,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.0264996567359517,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
1.024548426594187,K_C_-1_pipelineFullChrSer.pkl,1.5,0.05,0.0001,0.01,All,All,417,negative,1.5_0.05_0.0001_0.01
